id,repo,number,url,created_at,category,reply_count,question_title,question_text,replies_text
1,pallets/flask,5905,https://github.com/orgs/pallets/discussions/5905,2026-01-29T20:42:31Z,Q&A,1,Flask app crashes when using send_file() with BytesIO object in debug mode,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",[1] davidism: I can't reproduce this issue with the example provided. Multiple requests result in successful responses. There's something else going on beyond what you've shown.
2,pallets/flask,5894,https://github.com/orgs/pallets/discussions/5894,2026-01-22T20:36:33Z,Q&A,1,Issue with send_file() and send_from_directory() not sending,"Issue with send_file() and send_from_directory() not sending I'm following the pattern here to try and send a file from temporary storage and I'm encountering an error that I don't know how to debug.  I was hoping somebody here can help. I have a view function that redirects to a function that calls send_file() (I've tried both send_file() and send_from_directory).  I'm not seeing any exceptions and everything seems to work fine, but the file is not sending.  When I open up dev tools in Chrome or Edge, however i can see the file in the network panel (no error code there either -- it redirected with status code 200). And if I double-click it it will then be downloaded as an attachment.  Any clue why it is not sending automatically?  Not sure if it matters, but I'm using Flask==2.3.2, but I've tried with Flask==3.1.2 as well. Here's the gist of what I'm doing: @app.route('/some-function', methods=['GET','POST']) def some_function():     # some stuff happens (I define filename and do some other simple things)     if request.method == 'POST':         updates = request.data    # get some data  -- this works fine         df = pandas_function(updates)    # do some stuff with that data -- this works fine         df.to_excel(os.path.join(app.cofing['UPLOAD_FOLDER'], filename)  # write file -- this works fine          return redirect(url_for('download_file', filename=filename))     return render_template('some_template.html')  @app.route('/uploads/<filename>') def download_file(filename):     print('i just redirected')    # this prints so it seems like it redirected successfully     return send_from_directory(os.path.join(current_app.root_path, app.config['UPLOAD_FOLDER']), filename, as_attachment=True) Thanks for any help you can offer!","[1] davidism: You're returning text (a URL), not a redirect. Use return redirect(url_for(...))."
3,pallets/flask,5886,https://github.com/orgs/pallets/discussions/5886,2026-01-12T11:59:28Z,Q&A,3,How to add HTML into a Beautiful Table cell?,"How to add HTML into a Beautiful Table cell? Hi, first time question asker here. I am trying to add some HTML code into a table based on Miguel Grinberg's Beautiful basic table.  I am still a novice at Flask, so please forgive me if this is a ""stupid"" question.  When I use the following, the table displays as expected: new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false } ... But when I add the following formatter sequence, the table fails to display. new gridjs.Grid({ columns: [ { id: 'event_id', name: 'Event ID', sort: false, formatter: (cell) => html('${cell}') }, ... What am I doing wrong?  Is there a way to add HTML (and specifically href) to a table cell? Thank you for your time and consideration. Best regards, ET","[1] miguelgrinberg: See this example, which inserts an email link in a table cell. In your example above you appear to be using single quotes inside the html() function. If you want to use JS template expressions you have to use back ticks instead. Finally, if your cell variable has HTML code, be very careful of introducing XSS vulnerabilities in your code. I suggest you use an approach more similar to the one I linked, where the cell value is just data, and the HTML markup is added by you explicitly.  [2] etwakaoz: Miguel, thank you very much for your help.  I'm almost there :-).  I got the formatter to work and able to create an href.  But now I would like to pass a parameter to my url.  I thought something like the following would work, but it looks like the '$' is unexpected by jinja. const url = {{ url_for(""judgesdb.update_event"", event_id=${cell}) }}; jinja2.exceptions.TemplateSyntaxError: unexpected char '$' looking to use url in html(<a href=""${url}""> ${cell} </a>) }, I'm guessing that jinja doesn't like '$', but do not know how to get around this error.  I'm an old C programmer writing python like C. Thanks for any help.  [3] etwakaoz: Thanks again for all your help.  I was beginning to think this was the case and now I have to learn JavaScript ."
4,pallets/flask,5862,https://github.com/orgs/pallets/discussions/5862,2025-12-13T10:43:23Z,Ideas,3,Proposal: CLI command to validate API endpoints by making test requests,"Proposal: CLI command to validate API endpoints by making test requests Motivation When working on Flask applications with many API endpoints, it is sometimes useful to quickly check whether all registered routes can be accessed without raising unexpected errors (e.g. unhandled exceptions, 500 errors). At the moment, developers typically need to write custom scripts or tests to perform this kind of basic validation. Providing an opt-in CLI command could help improve developer experience, especially during local development. Proposal Introduce an optional Flask CLI command (for example, flask check-endpoints) that iterates over registered routes and makes test requests using Flask’s test client. The goal would not be full correctness testing, but a lightweight sanity check to detect obvious runtime errors. Possible initial scope:  Only routes with simple methods (e.g. GET by default) Skip routes with required path parameters Report endpoints that raise exceptions or return 5xx responses Development-only usage  Design considerations  The command should be fully opt-in and not affect existing behavior. No network requests; use Flask’s built-in test client. Keep output simple and readable (similar to flask routes). Advanced features (custom payloads, auth, etc.) could be out of scope initially.  Open questions  Should this live as a core CLI command or as an optional extension? How should endpoints with required parameters or authentication be handled? Should the command fail on the first error or report all failures?  Feedback on the general direction and scope would be appreciated before starting an implementation.","[1] ThiefMaster: I think you could easily create that as a standalone package that integrates in the flask-cli via an entrypoint.  [2] jyup-escape: @ThiefMaster Yes, so I've already created it, and I'd like to discuss here what features would be useful.  [3] jyup-escape: I'll send you a PR for now, so please take a look."
5,pallets/flask,5778,https://github.com/orgs/pallets/discussions/5778,2025-07-18T13:41:52Z,Q&A,1,Memory consumption spikes when an api endpoint with file upload capability is hit.,"Memory consumption spikes when an api endpoint with file upload capability is hit. I have an API application, created using connexion framework, which uses FlaskApp configuration. This app exposes an endpoint where users/consumers can upload artifacts(ranging from 2.5 MB to 400 MB) and they will be then upload to an internal storage platform. The pain point is, when the user selects a larger data file(~320 MB) to upload, the application often runs into OOM issue and eventually user receives 502 status response. Running dmesg command inside containers show the gunicorn thread being killed by oom_killer It would be of great help if someone here could guide in avoiding such OOM issues for Flask Applications. API Specifaction openapi: 3.0.0 info:   description: Description   version: 1.1.1   title:  API  servers:   - url: /api/v1     description: base path for version 1 of the API  components:    responses:     BinaryFile:       description: Content of stored binary file       content:         ""*/*"":           schema:             type: string             format: binary     BadArgument:       description: Request Validation failed       content:         application/json:           schema:             $ref: ""#/components/schemas/Error""     NotFound:       description: Not Found (e.g. for a given Id)       content:         application/json:           schema:             $ref: ""#/components/schemas/Error""     InternalServerError:       description: Internal Server Error       content:         application/json:           schema:             $ref: ""#/components/schemas/Error""     ServiceUnavailable:       description: Service Temporary Unavailable       content:         application/json:           schema:             $ref: ""#/components/schemas/Error""    parameters:     OrganizationId:       name: teamId       in: path       required: true       schema:         type: string         format: path         additionalProperties: false         anyOf:           - $ref: ""#/components/schemas/Id""           - $ref: ""#/components/schemas/TeamId""     TicketId:       name: ticketId       in: path       required: true       schema:         $ref: ""#/components/schemas/Id""     ArtifactDataFileType:       name: dataType       in: path       required: true       schema:         $ref: ""#/components/schemas/ArtifactDataFileType""    schemas:     Id:       description: Unique identifier of a Object/Document/Entity etc       type: string       # On why UUID is used see https://www.cockroachlabs.com/docs/stable/sql-faqs.html#what-are-the-differences-between-uuid-sequences-and-unique_rowid       format: string     SubscriptionType:       description: Subscription type       type: string       enum: [small, medium, large]       nullable: true     ArtifactDataFileType:       type: string       enum: [ artifact ]     TeamId:       type: string       description: Team's unique identifier     # According to ""Problem Details for HTTP APIs"" -> https://tools.ietf.org/html/draft-ietf-appsawg-http-problem-00     Error:       type: object       description: An Error object returned if something went wrong       additionalProperties: true       properties:         detail:           type: string         status:           type: integer         title:           type: string         type:           type: string     ArtifactBodyWithSubscriptionType:       type: object       additionalProperties: false       properties:         data:           type: string           format: binary         subscriptionType:           $ref: ""#/components/schemas/SubscriptionType""   paths:   '/team/{teamId}/ticket/{ticketId}/{dataType}':     parameters:       - $ref: ""#/components/parameters/OrganizationId""       - $ref: ""#/components/parameters/TicketId""       - $ref: ""#/components/parameters/ArtifactDataFileType""     post:       summary: Upload Artifact data file for this Ticket       x-openapi-router-controller: app.operations.epics       operationId: upload_data       requestBody:         required: true         content:           multipart/form-data:             schema:               $ref: '#/components/schemas/ArtifactBodyWithSubscriptionType'       responses:         '201':           description: Uploaded         '400':           $ref: ""#/components/responses/BadArgument""         '404':           $ref: ""#/components/responses/NotFound""         '500':           $ref: ""#/components/responses/InternalServerError""         '503':           $ref: ""#/components/responses/ServiceUnavailable"" Python function import logging from http import HTTPStatus from typing import BinaryIO  from connexion import problem  from app.operations import _not_found from app.models.ticket import Ticket from app.storage import Storages   logger = logging.getLogger(__name__)   class Storages:     """"""     Internal platform to store artifacts.     """"""     def __init__(self, data_path):         self.data_path: str = data_path      def save(self, data_path: str, data: BinaryIO):         """"""         API call to internal platform to store artifacts.         """"""         pass      def ticket_path(self, ticket: Ticket, data_type):         """"""         Returns the path where the ticket data should be stored.         """"""         # This is a placeholder implementation.         # The actual implementation would return a path based on the ticket and data type.         return f""{self.data_path}/{ticket.id}/{data_type}""   def _get_ticket(params):     """"""     Helper function to retrieve the ticket from the parameters.     """"""     ...     return   def upload_data(**params):     # Checking file     data = params[""data""]     file_name = data.filename     if not file_name:         return problem(HTTPStatus.INTERNAL_SERVER_ERROR, ""Cannot upload file"", ""File is not provided"")      # Checking existence of ticket     ticket = _get_ticket(params)     if not ticket:         return _not_found(Ticket, params[""ticketId""])      # Saving file in storage     data_type = params[""dataType""]      try:         storage = Storages(data_path=""/path/to/storage/on/internal/platform""),         data_path = storage.ticket_path(ticket, data_type)         storage.save(data_path, data)     except Exception as ex:         logger.error(f""cannot upload file into storage: {ex}"", exc_info=True)         return problem(HTTPStatus.INTERNAL_SERVER_ERROR, ""Cannot upload file"", ""Problems with storage"")      return None, HTTPStatus.CREATED Pipfile [[source]] url = ""https://pypi.org/simple/"" verify_ssl = true name = ""pypi""  [requires] python_version = ""3.11""  [packages] backoff = ""~=2.2.0"" boto3 = ""~=1.26.0"" connexion = {extras = [""flask"", ""uvicorn"", ""swagger-ui""],version = ""~=3.2.0""} gunicorn = {extras = [""gevent""],version = ""~=23.0.0""} aiohttp = ""~=3.10.10"" aiohttp_retry = ""~=2.8.3"" greenlet = ""==3.1.1"" kubernetes = ""~=24.0"" psycopg-c = ""~=3.2.2"" psycopg-pool = ""~=3.2.3"" rfc3339-validator = ""~=0.1.0"" shapely = ""~=2.1.0"" jsonschema = ""~=4.23.0""  Application startup command python -m gunicorn --worker-class uvicorn.workers.UvicornWorker --workers 5 --bind 0.0.0.0:$PORT --access-logfile - --access-logformat ""%(t)s %(h)s %(l)s %(p)s \""%(m)s %(U)s%(q)s\"" %(s)s %(b)s %(L)s \""%(f)s\"" \""%(a)s\"""" app.wsgi:app Filtered logs [ERROR] Worker (pid:62) was sent SIGKILL! Perhaps out of memory? [INFO] Booting worker with pid: 96 System info:  Application is deployed on Kubernetes. Python version 3.11 Resource allocation:  Memory limit 3GB    In a thread regarding same issue on Connexion forum , I received following feedback: spec-first/connexion#2062 (comment)  FWIW I think this is more a Flask question than a Connexion question. I checked the Flask doc about file upload: https://flask.palletsprojects.com/en/stable/patterns/fileuploads/ There I found this:  So how exactly does Flask handle uploads? Well it will store them in the webserver’s memory if the files are reasonably small, otherwise in a temporary location (as returned by tempfile.gettempdir()). But how do you specify the maximum file size after which an upload is aborted? By default Flask will happily accept file uploads with an unlimited amount of memory, but you can limit that by setting the MAX_CONTENT_LENGTH config key:  I didn't see a way to specify the threshold that Flask uses to decide whether to use a ""temporary location"" instead of memory. Not sure this is really helpful, sorry.  What I'm looking for is recommendations on better implementation to avoid spike in Memory consumption.","[1] yesminehe: Hi @athujoshi24, to fix OOM issues with large file uploads, set app.config['MAX_CONTENT_LENGTH'] = 450 * 1024 * 1024 and override Request._get_file_stream to use disk-based TemporaryFile. Stream uploads in chunks with shutil.copyfileobj(data.stream, f, length=1610241024). Reduce Gunicorn workers to 1 (--workers 1 --preload) and increase Kubernetes memory to 4 GB. Consider NGINX for buffering or S3 presigned URLs for scalability."
6,pallets/flask,5773,https://github.com/orgs/pallets/discussions/5773,2025-07-14T14:48:29Z,Q&A,2,Why does my Flask route return a 405 error when I submit a form?,"Why does my Flask route return a 405 error when I submit a form? I'm using Flask and trying to handle a form submission with POST, but I keep getting a 405 Method Not Allowed error. Here's the basic code: from flask import Flask, request  app = Flask(__name__)  @app.route(""/submit"") def submit():     if request.method == ""POST"":         name = request.form[""name""]         return f""Hello, {name}!""     return ""Invalid method"" I submit the form from an HTML page using method=""POST"", but Flask still returns a 405. What am I doing wrong?","[1] ThiefMaster: Because you need methods=('GET', 'POST') on your route() call to allow POST in addition to GET.  [2] Istituto-freudinttheprodev: Great question! The issue is that your route is only set to accept GET requests by default, since you didn’t specify the allowed methods. To fix the 405 error, you need to explicitly allow POST in the route definition using the methods parameter: @app.route(""/submit"", methods=[""GET"", ""POST""]) def submit():     if request.method == ""POST"":         name = request.form[""name""]         return f""Hello, {name}!""     return ""Invalid method"" This tells Flask to accept both GET and POST requests on that route. Let me know if it works! ✅"
7,pallets/flask,5771,https://github.com/orgs/pallets/discussions/5771,2025-07-12T06:38:46Z,Q&A,2,flask and pdbpp gives `signal only works in main thread of the main interpreter`,"flask and pdbpp gives `signal only works in main thread of the main interpreter` This is my code example: from flask import Flask  app = Flask(__name__)   @app.route(""/status"") def status():     breakpoint()     return {""status"": ""ok""}   if __name__ == '__main__':     app.run() Accessing /status, I get: -> breakpoint() 127.0.0.1 - - [12/Jul/2025 08:32:24] ""GET /status HTTP/1.1"" 500 - Traceback (most recent call last):   File ""/home/kmille/.cache/pypoetry/virtualenvs/zammad-pgp-autoimport-webhook-jd1kDdnL-py3.13/lib/python3.13/site-packages/flask/app.py"", line 1536, in __call__     return self.wsgi_app(environ, start_response)            ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/home/kmille/.cache/pypoetry/virtualenvs/zammad-pgp-autoimport-webhook-jd1kDdnL-py3.13/lib/python3.13/site-packages/flask/app.py"", line 1514, in wsgi_app     response = self.handle_exception(e)   File ""/home/kmille/.cache/pypoetry/virtualenvs/zammad-pgp-autoimport-webhook-jd1kDdnL-py3.13/lib/python3.13/site-packages/flask/app.py"", line 1511, in wsgi_app     response = self.full_dispatch_request()   File ""/home/kmille/.cache/pypoetry/virtualenvs/zammad-pgp-autoimport-webhook-jd1kDdnL-py3.13/lib/python3.13/site-packages/flask/app.py"", line 919, in full_dispatch_request     rv = self.handle_user_exception(e)   File ""/home/kmille/.cache/pypoetry/virtualenvs/zammad-pgp-autoimport-webhook-jd1kDdnL-py3.13/lib/python3.13/site-packages/flask/app.py"", line 917, in full_dispatch_request     rv = self.dispatch_request()   File ""/home/kmille/.cache/pypoetry/virtualenvs/zammad-pgp-autoimport-webhook-jd1kDdnL-py3.13/lib/python3.13/site-packages/flask/app.py"", line 902, in dispatch_request     return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)  # type: ignore[no-any-return]            ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^   File ""/home/kmille/projects/zammad-pgp-autoimport-webhook/src/zammad_pgp_autoimport_webhook/test_run.py"", line 8, in status     breakpoint()     ~~~~~~~~~~^^   File ""/usr/lib/python3.13/bdb.py"", line 116, in trace_dispatch     return self.dispatch_opcode(frame, arg)            ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^   File ""/usr/lib/python3.13/bdb.py"", line 215, in dispatch_opcode     self.user_opcode(frame)     ~~~~~~~~~~~~~~~~^^^^^^^   File ""/usr/lib/python3.13/pdb.py"", line 448, in user_line     self.interaction(frame, None)     ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^   File ""/home/kmille/.cache/pypoetry/virtualenvs/zammad-pgp-autoimport-webhook-jd1kDdnL-py3.13/lib/python3.13/site-packages/pdbpp.py"", line 431, in interaction     return self._interaction(frame, tb)            ~~~~~~~~~~~~~~~~~^^^^^^^^^^^   File ""/home/kmille/.cache/pypoetry/virtualenvs/zammad-pgp-autoimport-webhook-jd1kDdnL-py3.13/lib/python3.13/site-packages/pdbpp.py"", line 465, in _interaction     self._cmdloop()     ~~~~~~~~~~~~~^^   File ""/usr/lib/python3.13/pdb.py"", line 511, in _cmdloop     self.cmdloop()     ~~~~~~~~~~~~^^   File ""/usr/lib/python3.13/cmd.py"", line 134, in cmdloop     line = input(self.prompt)   File ""/usr/lib/python3.13/_pyrepl/readline.py"", line 364, in input     reader = self.get_reader()   File ""/usr/lib/python3.13/_pyrepl/readline.py"", line 358, in get_reader     console = Console(self.f_in, self.f_out, encoding=ENCODING)   File ""/usr/lib/python3.13/_pyrepl/unix_console.py"", line 202, in __init__     signal.signal(signal.SIGCONT, self._sigcont_handler)     ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/usr/lib/python3.13/signal.py"", line 58, in signal     handler = _signal.signal(_enum_to_int(signalnum), _enum_to_int(handler)) ValueError: signal only works in main thread of the main interpreter  Versions I use poetry show -l | grep -e flask -e pdbpp                         flask              3.1.1     3.1.1    A simple framework for building comple... pdbpp              0.11.6    0.11.6   pdb++, a drop-in replacement for pdb  Using Python 3.13.5. Thanks for your help! I'm wondering why I'm the only one having this... Couldn't find something in the web...","[1] yesminehe: The breakpoint() call is meant for interactive debugging and isn’t suitable for a running Flask application, especially in a multi-threaded environment. Remove it from the /status route  [2] kmille: Yea, but I want to debug at some point. And it worked in the past... … On July 18, 2025 11:49:15 PM GMT+02:00, Yasmine Hichri ***@***.***> wrote: The breakpoint() call is meant for interactive debugging and isn’t suitable for a running Flask application, especially in a multi-threaded environment. Remove it from the /status route  -- Reply to this email directly or view it on GitHub: #5771 (comment) You are receiving this because you authored the thread.  Message ID: ***@***.***>"
8,pallets/flask,5758,https://github.com/orgs/pallets/discussions/5758,2025-06-11T17:15:34Z,Q&A,1,Is there any good way to contribute?,Is there any good way to contribute? I'm new to contributing to big repositories --- is there any good starting points that I could help wth?,"[1] davidism: You can find our contributing guide here: https://palletsprojects.com/contributing/ You won't find much to work on in Flask itself. The front page of the guide provides many ideas, including where to contribute:  Besides the core Pallets projects, there is an entire ecosystem of extensions built on top of them. We also have our own dependencies that we use for our development environment. Improving the ecosystem we're part of is a great way to contribute to Pallets."
9,pallets/flask,5749,https://github.com/orgs/pallets/discussions/5749,2025-06-01T23:28:52Z,Ideas,2,Flask/Werkzeug: Don't send content-type header with 204 response?,"Flask/Werkzeug: Don't send content-type header with 204 response? I received a warning form the Python webtest library when responding with a 204 HTTP status code b/c Flask (or Werkzeug, I didn't dig to find where it happens) adds a Content-Type header by default: ('Content-Type', 'text/html; charset=utf-8'). Led me to a discussion with Claude about what the spec says regarding.  It sounds like it's not prohibited but would make sense to not add the header if the status code is 204. It's a small thing, but should Flask/Werkzeug take the status code into account before adding a content type header?","[1] davidism: Werkzeug Response.default_mimetype sets the Content-Type header when creating a response if it's not given. Response.get_wsgi_headers removes the Content-Length header when sending a 204 response. Content-Length spec directly says that a 204 response must not contain this header, and Werkzeug therefore removes it. Content-Type spec doesn't make any statement about not sending the header. While we do have the logic in place already to do something on certain status codes, I'm wary of adding this. It's not required according to spec, and might result in more requests to remove other headers despite the spec not requiring it. If you're commonly sending 204 responses, you can write a helper to produce a response in the exact form you need: def make_204(...):     response = Response(status=204)     del response.headers[""content-type""]     ...     return response You can also override Flask.response_class, or Flask.make_response, to add extra behaviors you need.  [2] rsyring: It's not required according to spec, and might result in more requests to remove other headers despite the spec not requiring it.  Fair enough.  :) Thanks for the discussion and suggestions you provided."
10,pallets/flask,5744,https://github.com/orgs/pallets/discussions/5744,2025-05-23T15:42:28Z,Ideas,1,Proposal: Adopt Renovate for Automated Dependency Updates,"Proposal: Adopt Renovate for Automated Dependency Updates Hi everyone, I'd like to propose adopting Renovate to automate our dependency updates. Renovate scans for outdated dependencies and opens pull requests with suggested upgrades — saving time and helping us keep things secure and up to date. To get started, we’d just need to install the Renovate GitHub App. After that, we can configure it to match our preferences (frequency, update types, etc.). I’m happy to help with the initial setup and submit a configuration PR if the team is open to trying it out. Looking forward to hearing your thoughts! Thanks, Liora You’re right. I messed this up. I shouldn’t have said “we” since I’m not part of the project. That was a bad call. And I thought I understood your post, but I clearly got it wrong. I didn’t mean to ignore what you said, I just misunderstood it. Also, just to be transparent: I use AI to help me write in English, because it’s not my first language and I want to express things clearly. But I see now that it ended up sounding off, and I take responsibility for that. I wasn’t trying to be fake or talk down to you. I just wanted to suggest something that might help, but I get that it didn’t come across well. I’ll step back. Thanks for all the work you do. I really do respect it.",[1] davidism: I've written about why we're no longer using Dependabot or other automatic updates here: https://davidism.com/disabling-scheduled-dependency-updates/ In short: it is way too noisy and doesn't help libraries (as opposed to applications) much.
