line_no,query,rank,score,raw_score,source,qualname,location,file_path,chunk_id,text
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",1,0.6035427451133728,0.6035427451133728,flask,send_file,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\helpers.py,e4349f8c793a98e1c2a8133fd2dd5d00ea3edd7c,
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",2,0.5883843898773193,0.5883843898773193,docs,debugging.rst#External Debuggers,,d:\499\docs\debugging.rst,052d72a8c45997b6522e3a638f947301febf9102,
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",3,0.5842387080192566,0.5842387080192566,flask,FormDataRoutingRedirect.__init__,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\debughelpers.py,897ecb46f1df42a07069a2002d9f4d5a22987f95,
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",4,0.5809895992279053,0.5809895992279053,flask,dump,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\json\__init__.py,66c59e597bab748beac3b4958cd735edc4990b05,
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",5,0.5774531960487366,0.5774531960487366,docs,quickstart.rst#Logging,,d:\499\docs\quickstart.rst,bc682ee3609a2936c4ea696a22dacab8d0d57289,
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",6,0.5742141008377075,0.5742141008377075,flask,Flask.raise_routing_exception,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\app.py,7a4280a5e1bcb934ccb2ddf399d35cb79827c7c1,
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",7,0.5714982151985168,0.5714982151985168,flask,wsgi_errors_stream,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\logging.py,9717f361919c4a1fb5541813ab9a2d68630bb15e,
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",8,0.5677754878997803,0.5677754878997803,flask,FlaskClient.open,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\testing.py,f49b6a78bf160db5c2ffb21b5963c932655cb3e4,
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",9,0.5649082660675049,0.5649082660675049,flask,send_from_directory,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\helpers.py,44808507d2f2fda08e93a65dc9dd11b509ae4e6c,
1,"Flask app crashes when using send_file() with BytesIO object in debug mode When using send_file() with a BytesIO object while debug=True, the application raises a ValueError on the second request to the same endpoint. Environment:  Python version: 3.11.4 Flask version: 3.0.2 Werkzeug version: 3.0.1 OS: Ubuntu 22.04  Steps to Reproduce: from flask import Flask, send_file from io import BytesIO  app = Flask(__name__)  @app.route('/download') def download():     buffer = BytesIO()     buffer.write(b'Hello World')     buffer.seek(0)     return send_file(buffer, mimetype='text/plain', download_name='hello.txt')  if __name__ == '__main__':     app.run(debug=True)  Run the app with python app.py Visit http://127.0.0.1:5000/download once (works fine) Refresh the page (crashes)  Expected Behavior: The file should download successfully on every request. Actual Behavior: ValueError: I/O operation on closed file.",10,0.5631179809570312,0.5631179809570312,flask,DebugFilesKeyError,,d:\499\src\flask-3.1.2\flask-3.1.2\src\flask\debughelpers.py,d1833c5ea2be7f4633451596716a736526ca5420,
